TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
atm                            | T6_MICRO_INFRA       |    80 |            5.98
parcel_locker                  | T6_MICRO_INFRA       |   120 |            5.92

==========================================================================================

CITY: ELBLAG
Total recognized POI types: 76
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     1 |    155507233.05
apron                          | T0_MEGA_HUB          |     2 |     59378471.02
hangar                         | T0_MEGA_HUB          |     2 |     57232823.49
station                        | T0_MEGA_HUB          |     2 |     56963443.18
ferry_terminal                 | T0_MEGA_HUB          |     3 |     30127847.77
hospital                       | T1_REGIONAL_MAGNET   |     4 |     21960990.62
stadium                        | T1_REGIONAL_MAGNET   |     1 |     20076741.27
university                     | T1_REGIONAL_MAGNET   |     3 |     18982748.79
college                        | T1_REGIONAL_MAGNET   |     3 |     17326320.37
school                         | T2_STRATEGIC_HUB     |    35 |      1750947.87
prison                         | T2_STRATEGIC_HUB     |     1 |      1594496.22
mall                           | T2_STRATEGIC_HUB     |    10 |      1382474.64
courthouse                     | T2_STRATEGIC_HUB     |     2 |      1273173.90
townhall                       | T2_STRATEGIC_HUB     |     4 |       983279.14
police                         | T2_STRATEGIC_HUB     |     4 |       901232.89
supermarket                    | T2_STRATEGIC_HUB     |    61 |       889433.46
social_facility                | T2_STRATEGIC_HUB     |    16 |       868028.98
fire_station                   | T2_STRATEGIC_HUB     |    13 |       817970.43
department_store               | T2_STRATEGIC_HUB     |     3 |       602556.96
government                     | T2_STRATEGIC_HUB     |    21 |       574148.17
water_park                     | T3_LOCAL_CORE        |     1 |       206198.74
kindergarten                   | T3_LOCAL_CORE        |    40 |       140224.97
sports_hall                    | T3_LOCAL_CORE        |     4 |       126012.31
swimming_pool                  | T3_LOCAL_CORE        |     3 |        95804.15
clinic                         | T3_LOCAL_CORE        |     4 |        90311.01
theatre                        | T3_LOCAL_CORE        |     4 |        79027.42
doctors                        | T3_LOCAL_CORE        |    32 |        74760.41
music_school                   | T3_LOCAL_CORE        |     1 |        61866.13
language_school                | T3_LOCAL_CORE        |     2 |        60849.85
driving_school                 | T3_LOCAL_CORE        |     4 |        59834.37
cinema                         | T3_LOCAL_CORE        |     4 |        59834.37
library                        | T3_LOCAL_CORE        |     7 |        59015.64
dentist                        | T3_LOCAL_CORE        |    14 |        58004.17
park                           | T4_DAILY_SERVICE     |    40 |        15269.94
place_of_worship               | T4_DAILY_SERVICE     |    41 |         9503.32
fuel                           | T4_DAILY_SERVICE     |    24 |         8402.52
garden                         | T4_DAILY_SERVICE     |   230 |         7161.29
hardware                       | T4_DAILY_SERVICE     |     4 |         6790.53
convenience                    | T4_DAILY_SERVICE     |   119 |         6093.50
florist                        | T4_DAILY_SERVICE     |    36 |         6091.23
electronics                    | T4_DAILY_SERVICE     |     6 |         5924.10
bureau_de_change               | T4_DAILY_SERVICE     |     7 |         5901.56
pet                            | T4_DAILY_SERVICE     |     8 |         5882.05
bakery                         | T4_DAILY_SERVICE     |     9 |         5864.85
optician                       | T4_DAILY_SERVICE     |    13 |         5811.21
shoes                          | T4_DAILY_SERVICE     |    14 |         5800.42
furniture                      | T4_DAILY_SERVICE     |    16 |         5780.98
post_office                    | T4_DAILY_SERVICE     |    24 |         5722.13
butcher                        | T4_DAILY_SERVICE     |    26 |         5710.54
charging_station               | T4_DAILY_SERVICE     |    30 |         5689.86
pharmacy                       | T4_DAILY_SERVICE     |    35 |         5667.64
bank                           | T4_DAILY_SERVICE     |    41 |         5644.90
clothes                        | T4_DAILY_SERVICE     |    99 |         5520.06
community_centre               | T5_SPEC_GASTRO       |     2 |         1001.46
nightclub                      | T5_SPEC_GASTRO       |     4 |          892.39
company                        | T5_SPEC_GASTRO       |    56 |          862.05
car_repair                     | T5_SPEC_GASTRO       |    38 |          776.81
car_wash                       | T5_SPEC_GASTRO       |    16 |          763.31
